,Leptophlebiidae,Leptohyphidae,Baetidae,Perliidae,Veliidae,Belostomatidae,Hebridae,Coenagrionidae,Lestidae,Calopterigidae,Gomphidae,Blaberidae,Corydalidae,Staphylinidae,Ptilodactilidae,Heteroceridae,Scirtidae,Elmidae,Hydraenidae,Ptilidae,Chironomidae,Simuliidae,Tipulidae,Dolichopodidae,Hydropsychidae,Odontoceridae,Philopotamidae,Calamoceratidae,Ceratopogonidae,Stratiomyidae,Lampyridae,Dryopidae,Hydrophilidae,Curculionidae,Dytiscidae,Coccinelidae,Trydactilidae,Ochteridae,Pseudothelphusidae,Turbelaridae,Styloniscidae
T3C1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
T3C2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T3C3,9,2,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0
T3C4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T3C5,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,9,0,1,2,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
T3C6,2,0,0,0,0,0,0,0,0,0,0,1,0,0,33,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T3C7,12,0,1,1,0,0,1,0,0,0,0,1,0,0,2,0,0,0,3,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
T3C8,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T3C9,3,5,6,2,0,2,0,0,0,0,0,0,1,0,0,0,0,10,4,0,11,1,0,0,53,21,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0
T3C10,3,2,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
