"ID","SOURCE","OLD_ID","NAME","COUNTRY","LONG","LAT","ALT","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","NYEARS"
"19102","SERNA","19102","SanIsidro","HONDURAS",-89.166667,14.833333,960,45.93,24.5206686845,16.539316172,49.6038040855,134.665,178.005,163.495,136.68520587,176.819130475,162.604373395,69.534657069,43.1608853225,30
"23010","SERNA","23010","Quimistan","HONDURAS",-88.406944,15.342778,190,46.068391221,33.18,22.925,28.8907539595,101.25,154.65,128.34,156.265,220.87,156.115,107.608,57.075,30
"23011","SERNA","23011","LaEntrada","HONDURAS",-88.733333,15.081944,445,36.45,21.61,22.29,35.395,143.7,267.481052155,183.85917643,214.59,265.405,160.19,82.22,48.0317551485,30
"23018","SERNA","23018","ElCiruelo","HONDURAS",-88.505556,15.299444,210,44.68,35.3867419475,22.09,35.5172297515,125.38,196.76587476,168.02265569,194.59349219,203.575,147.22,116.6,67.3778507365,30
"23020","SERNA","23020","LaLibertadCallejones","HONDURAS",-88.628611,15.2,500,120.3079012225,66.6375685205,46.444835331,39.32,184.87,306.675,211.905,230.66602682,225.817887275,207.35900261,165.4397242015,155.351942593,30
"25018","ENEE","25018","ELJARAL","HONDURAS",-88.004722,14.9375,650,128.684291545,88.104728471,63.624617977,88.082004049,198.44840014,332.860217865,436.794180505,455.275623535,514.20106591,325.51979438,198.19626787,143.823003775,30
"25020","ENEE","25020","ELMOCHITO","HONDURAS",-88.078333,14.853333,940,57.655,45.005,30.26,56.841900495,183.13,322.775,322.705,374.445,400.48,271.066483955,107.375,69.215,30
"25022","SERNA","25022","Victoria","HONDURAS",-87.389444,14.935278,360,31.6683579545,17.2907449905,27.073698587,50.9037435835,148.15718154,183.1146633,167.393986643,179.93312721,221.879010555,169.604228826,74.7744222395,23.3038365815,30
"25026","SERNA","25026","ElCoyolar","HONDURAS",-87.510833,14.316667,880,4.94,5.38,12.795,40.235,141.73,168.235,72.24,130.725,216.660812995,148.89,28.12,9.325,30
"25070","SERNA","25070","Marcala","HONDURAS",-88.040278,14.158889,1340,8.295669229,5.747446285,17.5665936085,60.373030419,212.237276995,259.305033045,191.86991374,230.59376558,294.763406045,177.732695481,36.373057259,9.0560291575,30
"25077","ENEE","25077","GRACIASLEMPIRA","HONDURAS",-88.584167,14.586667,793,16.185,7.496933763,14.54770226175,57.9311685715,119.2917110175,207.470263885,141.929436045,175.04,185.65,134.435,43.4021596335,12.535837689,30
