"","x"
"T1C1",9
"T1C2",17
"T1C3",0
"T1C4",8
"T1C5",1
"T1C6",22
"T1C7",10
"T1C8",2
"T1C9",36
"T1C10",49
"T2C1",66
"T2C2",4
"T2C3",15
"T2C4",13
"T2C5",40
"T2C6",31
"T2C7",5
"T2C8",6
"T2C9",7
"T2C10",7
"T3C1",12
"T3C2",0
"T3C3",22
"T3C4",6
"T3C5",24
"T3C6",41
"T3C7",28
"T3C8",7
"T3C9",125
"T3C10",19
"Jaca1",0
"Jaca2",10
"Jaca3",0
